Miller Index,Shift,Atoms,Surface Area (Ų),Symmetric,Formula
"(1,1,1)",0.0112,270,180.21,False,TiO2
"(1,1,1)",0.0392,270,180.21,False,TiO2
"(1,1,1)",0.0591,270,180.21,False,TiO2
"(1,1,1)",0.0758,270,180.21,False,TiO2
"(1,1,1)",0.0915,270,180.21,False,TiO2
"(1,1,1)",0.1102,270,180.21,False,TiO2
"(1,1,1)",0.1284,270,180.21,False,TiO2
"(1,1,1)",0.1518,270,180.21,False,TiO2
"(1,1,1)",0.1688,270,180.21,False,TiO2
"(1,1,1)",0.1775,270,180.21,False,TiO2
"(1,1,1)",0.1845,270,180.21,False,TiO2
"(1,1,1)",0.1905,270,180.21,False,TiO2
"(1,1,1)",0.1969,270,180.21,False,TiO2
"(1,1,1)",0.2072,270,180.21,False,TiO2
"(1,1,1)",0.2271,270,180.21,False,TiO2
"(1,1,1)",0.2482,270,180.21,False,TiO2
"(1,1,1)",0.2618,270,180.21,False,TiO2
"(1,1,1)",0.281,270,180.21,False,TiO2
"(1,1,1)",0.3047,270,180.21,False,TiO2
"(1,1,1)",0.3191,270,180.21,False,TiO2
"(1,1,0)",0.0027,270,148.58,False,TiO2
"(1,1,0)",0.0232,270,148.58,False,TiO2
"(1,1,0)",0.0384,270,148.58,False,TiO2
"(1,1,0)",0.0478,270,148.58,False,TiO2
"(1,1,0)",0.0547,270,148.58,False,TiO2
"(1,1,0)",0.0605,270,148.58,False,TiO2
"(1,1,0)",0.0678,270,148.58,False,TiO2
"(1,1,0)",0.082,270,148.58,False,TiO2
"(1,1,0)",0.0965,270,148.58,False,TiO2
"(1,1,0)",0.1043,270,148.58,False,TiO2
"(1,1,0)",0.1124,270,148.58,False,TiO2
"(1,1,0)",0.1285,270,148.58,False,TiO2
"(1,1,0)",0.1495,270,148.58,False,TiO2
"(1,1,0)",0.1627,270,148.58,False,TiO2
"(1,1,0)",0.1707,270,148.58,False,TiO2
"(1,1,0)",0.1808,270,148.58,False,TiO2
"(1,1,0)",0.1912,270,148.58,False,TiO2
"(1,1,0)",0.2029,270,148.58,False,TiO2
"(1,1,0)",0.2127,270,148.58,False,TiO2
"(1,1,0)",0.2206,270,148.58,False,TiO2
"(1,1,0)",0.2288,270,148.58,False,TiO2
"(1,1,0)",0.2431,270,148.58,False,TiO2
"(1,1,0)",0.2613,270,148.58,False,TiO2
"(1,1,0)",0.2765,270,148.58,False,TiO2
"(1,1,0)",0.2871,270,148.58,False,TiO2
"(1,1,0)",0.2942,270,148.58,False,TiO2
"(1,1,0)",0.301,270,148.58,False,TiO2
"(1,1,0)",0.3079,270,148.58,False,TiO2
"(1,1,0)",0.3189,270,148.58,False,TiO2
"(1,1,-1)",0.0052,270,193.45,False,TiO2
"(1,1,-1)",0.032,270,193.45,False,TiO2
"(1,1,-1)",0.0457,270,193.45,False,TiO2
"(1,1,-1)",0.0602,270,193.45,False,TiO2
"(1,1,-1)",0.0747,270,193.45,False,TiO2
"(1,1,-1)",0.0824,270,193.45,False,TiO2
"(1,1,-1)",0.0908,270,193.45,False,TiO2
"(1,1,-1)",0.1007,270,193.45,False,TiO2
"(1,1,-1)",0.1095,270,193.45,False,TiO2
"(1,1,-1)",0.129,270,193.45,False,TiO2
"(1,1,-1)",0.1482,270,193.45,False,TiO2
"(1,1,-1)",0.1589,270,193.45,False,TiO2
"(1,1,-1)",0.1698,270,193.45,False,TiO2
"(1,1,-1)",0.184,270,193.45,False,TiO2
"(1,1,-1)",0.1979,270,193.45,False,TiO2
"(1,1,-1)",0.2106,270,193.45,False,TiO2
"(1,1,-1)",0.2366,270,193.45,False,TiO2
"(1,1,-1)",0.2604,270,193.45,False,TiO2
"(1,1,-1)",0.2716,270,193.45,False,TiO2
"(1,1,-1)",0.279,270,193.45,False,TiO2
"(1,1,-1)",0.3025,270,193.45,False,TiO2
"(1,0,1)",0.0093,270,151.29,False,TiO2
"(1,0,1)",0.0271,270,151.29,False,TiO2
"(1,0,1)",0.038,270,151.29,False,TiO2
"(1,0,1)",0.052,270,151.29,False,TiO2
"(1,0,1)",0.0626,270,151.29,False,TiO2
"(1,0,1)",0.0707,270,151.29,False,TiO2
"(1,0,1)",0.0827,270,151.29,False,TiO2
"(1,0,1)",0.0933,270,151.29,False,TiO2
"(1,0,1)",0.1028,270,151.29,False,TiO2
"(1,0,1)",0.1149,270,151.29,False,TiO2
"(1,0,1)",0.1252,270,151.29,False,TiO2
"(1,0,1)",0.1311,270,151.29,False,TiO2
"(1,0,1)",0.1397,270,151.29,False,TiO2
"(1,0,1)",0.1489,270,151.29,False,TiO2
"(1,0,1)",0.1631,270,151.29,False,TiO2
"(1,0,1)",0.1776,270,151.29,False,TiO2
"(1,0,1)",0.1862,270,151.29,False,TiO2
"(1,0,1)",0.1951,270,151.29,False,TiO2
"(1,0,1)",0.2016,270,151.29,False,TiO2
"(1,0,1)",0.2085,270,151.29,False,TiO2
"(1,0,1)",0.2259,270,151.29,False,TiO2
"(1,0,1)",0.2447,270,151.29,False,TiO2
"(1,0,1)",0.2589,270,151.29,False,TiO2
"(1,0,1)",0.2703,270,151.29,False,TiO2
"(1,0,1)",0.2804,270,151.29,False,TiO2
"(1,0,1)",0.2921,270,151.29,False,TiO2
"(1,0,1)",0.3012,270,151.29,False,TiO2
"(1,0,1)",0.3115,270,151.29,False,TiO2
"(1,0,1)",0.3235,270,151.29,False,TiO2
"(1,0,0)",0.0068,270,113.09,False,TiO2
"(1,0,0)",0.0166,270,113.09,False,TiO2
"(1,0,0)",0.0219,270,113.09,False,TiO2
"(1,0,0)",0.0263,270,113.09,False,TiO2
"(1,0,0)",0.0318,270,113.09,False,TiO2
"(1,0,0)",0.0391,270,113.09,False,TiO2
"(1,0,0)",0.0489,270,113.09,False,TiO2
"(1,0,0)",0.0595,270,113.09,False,TiO2
"(1,0,0)",0.0669,270,113.09,False,TiO2
"(1,0,0)",0.0738,270,113.09,False,TiO2
"(1,0,0)",0.084,270,113.09,False,TiO2
"(1,0,0)",0.0934,270,113.09,False,TiO2
"(1,0,0)",0.1025,270,113.09,False,TiO2
"(1,0,0)",0.1096,270,113.09,False,TiO2
"(1,0,0)",0.1181,270,113.09,False,TiO2
"(1,0,0)",0.1286,270,113.09,False,TiO2
"(1,0,0)",0.1366,270,113.09,False,TiO2
"(1,0,0)",0.1449,270,113.09,False,TiO2
"(1,0,0)",0.1544,270,113.09,False,TiO2
"(1,0,0)",0.1629,270,113.09,False,TiO2
"(1,0,0)",0.1702,270,113.09,False,TiO2
"(1,0,0)",0.176,270,113.09,False,TiO2
"(1,0,0)",0.1818,270,113.09,False,TiO2
"(1,0,0)",0.1882,270,113.09,False,TiO2
"(1,0,0)",0.1948,270,113.09,False,TiO2
